fila,columna,perro,alarma,valor
0,0,0,0,4612
0,1,0,0,3747
0,2,0,0,2624
0,3,0,0,4728
0,4,1,0,3343
0,5,1,0,425
0,6,1,0,2195
0,7,0,1,2130
0,8,1,0,3046
0,9,1,0,1296
0,10,1,0,4182
0,11,0,0,1463
0,12,0,1,4026
0,13,0,0,2561
0,14,0,0,663
0,15,0,1,4954
0,16,0,0,4800
0,17,0,0,1479
0,18,0,0,2037
0,19,0,1,4059
1,0,1,0,2161
1,1,1,0,4973
1,2,0,0,2104
1,3,0,0,2576
1,4,1,0,1494
1,5,0,1,397
1,6,0,0,4442
1,7,0,1,1266
1,8,0,0,2970
1,9,0,0,1232
1,10,0,0,2184
1,11,0,0,3930
1,12,0,1,485
1,13,1,0,2960
1,14,0,0,3241
1,15,0,1,583
1,16,0,0,619
1,17,0,1,3187
1,18,1,0,4566
1,19,0,1,2335
2,0,1,0,2047
2,1,0,1,4599
2,2,0,1,782
2,3,0,1,3694
2,4,0,0,2827
2,5,0,0,144
2,6,0,0,3983
2,7,0,0,3269
2,8,1,0,2043
2,9,0,0,1297
2,10,0,0,3731
2,11,0,0,2536
2,12,0,0,909
2,13,0,0,2256
2,14,0,1,2803
2,15,0,0,4966
2,16,1,0,1179
2,17,0,0,3626
2,18,0,0,812
2,19,0,0,4031
3,0,0,0,664
3,1,0,0,3140
3,2,0,0,1204
3,3,0,0,1698
3,4,0,0,4058
3,5,0,0,335
3,6,1,0,3712
3,7,0,1,3017
3,8,0,1,212
3,9,0,1,1438
3,10,0,0,2423
3,11,0,0,2387
3,12,0,0,3180
3,13,0,0,3122
3,14,0,0,3399
3,15,0,0,955
3,16,1,0,3292
3,17,1,0,2758
3,18,0,0,650
3,19,0,1,2351
4,0,0,0,981
4,1,0,0,3721
4,2,0,0,2045
4,3,1,0,2871
4,4,0,0,1777
4,5,1,0,2110
4,6,0,0,4035
4,7,0,0,4544
4,8,0,0,2901
4,9,0,0,1713
4,10,0,0,961
4,11,0,1,3417
4,12,1,0,1135
4,13,0,0,3265
4,14,0,0,2877
4,15,0,0,2608
4,16,1,0,4746
